X,Y,Z,Au_ppm,As_ppm_BESTEL,Hg_ppm_BESTEL,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47
0.5705110938226847,0.6377807632741977,0.4353070183788768,1.0718343372848294e-05,0.00070002100063,0.0007868852459016,0.0,4.7173180418654005e-12,0.0,6.096164149030944e-05,6.10380604584742e-08,2.1141288376670763e-06,0.0,0.0,0.0,0.0,8.414689401983003e-13,0.0,0.0,0.013448915812977231,0.0014672718585969937,0.0,0.13378304269804916,0.026885905306115555,1.7699385530611526e-06,0.0509387260894179,0.008299091828160464,4.071028444539574e-10,9.471648617419027e-05,2.1185769191636964e-07,0.0,0.0,4.936428399546929e-05,3.146058715424709e-08,0.0,0.12895721659658124,0.0257395318602499,1.4716665905175644e-06,0.9065763772870037,0.22347558897864273,0.000702034091594775,0.38002189741374476,0.08911953490920911,8.597493390944884e-05,0.004689808048506696,0.00033237762518695566,0.0,0.0,1.2147272207782188e-06,0.0,0.0,0.04697081308657594,0.0074970377266210956,7.939869620040871e-11
0.5705054861046002,0.6377850687180626,0.4351356158915048,1.0718343372848294e-05,0.00070002100063,0.0007868852459016,0.0,5.871649004466799e-12,0.0,6.191993915752535e-05,6.397965294974105e-08,2.171633257324912e-06,0.0,0.0,0.0,0.0,9.806747487063628e-13,0.0,0.0,0.013499609153881702,0.0014747780980274734,0.0,0.13418186628953774,0.026980887034535477,1.7962219718083894e-06,0.05110944868457335,0.00833388298858936,4.318783839706646e-10,9.549646362256073e-05,2.1649689223090691e-07,0.0,0.0,4.940873766790174e-05,3.155311871064282e-08,0.0,0.12900530835394872,0.025750928926315794,1.4744621542827599e-06,0.9069619955625781,0.2235692147147479,0.0007026310783498236,0.3801998368584057,0.08916574592558564,8.609018640101962e-05,0.004693736522665276,0.0003327863789065675,0.0,0.0,1.2005061780703897e-06,0.0,0.0,0.046857757124642706,0.007474375593637082,7.509127771617963e-11
0.570499844889316,0.6377894522523924,0.4349642171873908,1.0718343372848294e-05,0.00070002100063,0.0007868852459016,0.0,7.251545240354747e-12,0.0,6.289048445072795e-05,6.703749286684921e-08,2.2304303765468054e-06,0.0,0.0,0.0,0.0,1.1382951578844206e-12,0.0,0.0,0.013550405575171842,0.001482307766816728,0.0,0.1345814450897385,0.02707608481806398,1.8228099882959692e-06,0.05128060663454892,0.008368785474551355,4.578885657151229e-10,9.6281828679691e-05,2.2122062701149558e-07,0.0,0.0,4.945254219714443e-05,3.1644452582742945e-08,0.0,0.1290529548420429,0.025762221017554123,1.477235286636329e-06,0.907345680007015,0.22366235915958385,0.0007032251931532962,0.3803774114778677,0.08921186278560249,8.620528046156689e-05,0.0046976671898339714,0.000333195492418487,0.0,0.0,1.1863957656264596e-06,0.0,0.0,0.04674476067328976,0.007451736286193944,7.097411328711355e-11
0.5704942623379056,0.6377938459165355,0.4347928167859237,1.0718343372848294e-05,0.00070002100063,0.0007868852459016,0.0,8.891211748764602e-12,0.0,6.387346302976431e-05,7.021538939206869e-08,2.290536208250336e-06,0.0,0.0,0.0,0.0,1.316333559242529e-12,0.0,0.0,0.013601327622376869,0.0014898642317986955,0.0,0.13498181775636806,0.027171507921227144,1.8497076649004662e-06,0.05145215981994434,0.008403791182535583,4.851748369084755e-10,9.707216942613724e-05,2.2602742525986237e-07,0.0,0.0,4.949601725832874e-05,3.173525022937883e-08,0.0,0.12910031259675944,0.025773445219661115,1.4799950206255056e-06,0.9077276089383853,0.22375506575526616,0.000703816710127851,0.38055433421516943,0.08925781093266479,8.632002935828699e-05,0.004701587396831623,0.000333603648236463,0.0,0.0,1.1724090190933074e-06,0.0,0.0,0.04663188305776695,0.007429131694392571,6.704283099657903e-11
0.5704887391881691,0.6377982494063049,0.4346214147689025,1.0718343372848294e-05,0.00070002100063,0.0007868852459016,0.0,1.0828255887880424e-11,0.0,6.48689977258397e-05,7.351704037801668e-08,2.351973503413035e-06,0.0,0.0,0.0,0.0,1.5168272361603195e-12,0.0,0.0,0.013652375434821958,0.001497447543894844,0.0,0.13538298460827075,0.027267156479346397,1.876917560800196e-06,0.05162410829144765,0.008438900192308732,5.137856134448283e-10,9.78675044756078e-05,2.309183709517969e-07,0.0,0.0,4.953916345341055e-05,3.1825509540844025e-08,0.0,0.1291473819747468,0.025784601607047316,1.4827413167093786e-06,0.9081077800500276,0.2238473340865084,0.0007044056238055039,0.380730602709038,0.08930358974543218,8.643443069419882e-05,0.004705497057585614,0.00033401083625090927,0.0,0.0,1.158545356159329e-06,0.0,0.0,0.04651912493158127,0.0074065619444617856,6.32909309264803e-11
0.5704832757308796,0.6378026627555458,0.4344500109931742,1.0718343372848294e-05,0.00070002100063,0.0007868852459016,0.0,1.3104203693292462e-11,0.0,6.587721336397524e-05,7.69462303268589e-08,2.4147654225178563e-06,0.0,0.0,0.0,0.0,1.7419579870198073e-12,0.0,0.0,0.013703549115828296,0.0015050577486745602,0.0,0.13578494636256722,0.027363030722396733,1.904442273805237e-06,0.051796452548929804,0.008474112675207682,5.437706838093004e-10,9.866785577225503e-05,2.358945774674858e-07,0.0,0.0,4.958197988834306e-05,3.191522530218645e-08,0.0,0.12919416263805691,0.02579569008956456,1.4854740951610095e-06,0.9084861907193709,0.2239391636613005,0.0007049919282396474,0.38090621625703286,0.08934919903342042,8.654848314928525e-05,0.004709396153490871,0.00033441705337535426,0.0,0.0,1.1448041081688667e-06,0.0,0.0,0.046406486494314614,0.007384027071576124,5.971205468804915e-11
0.5704778740238271,0.637807084559626,0.4342786055405429,1.0718343372848294e-05,0.000960028800864,0.0018032786885245,0.0,1.576476823416726e-11,0.0,6.689823506497348e-05,8.050682602588552e-08,2.47893513428804e-06,0.0,0.0,0.0,0.0,1.9940627736478894e-12,0.0,0.0,0.013754849148323154,0.0015126949482327453,0.0,0.1361877037525683,0.02745913088400034,1.9322844151084384e-06,0.05196919188227684,0.008509428555115798,5.751809379051182e-10,9.947323421454987e-05,2.40957097883917e-07,0.0,0.0,4.9624472360382665e-05,3.2004406364760164e-08,0.0,0.12924065746297228,0.025806711339046925,1.4881934645778353e-06,0.9088628414001413,0.2240305547339901,0.0007055756222619859,0.3810811677745299,0.08939463694862405,8.666218125664902e-05,0.004713284391476919,0.00033482226791732285,0.0,0.0,1.1311849051257821e-06,0.0,0.0,0.04629396939309722,0.007361527400214306,5.630004326489977e-11
0.5704725335647032,0.637811515479298,0.434107198370105,1.0718343372848294e-05,0.000960028800864,0.0018032786885245,0.0,1.8860093237530308e-11,0.0,6.793218847198829e-05,8.420277827712719e-08,2.544506421111914e-06,0.0,0.0,0.0,0.0,2.2756311110464275e-12,0.0,0.0,0.01380627541053414,0.0015203591547203394,0.0,0.13659125701375224,0.027555457078715765,1.9604465732984116e-06,0.052142327111272146,0.008544848068366726,6.080688694062034e-10,0.00010028366558358955,2.4610708684900255e-07,0.0,0.0,4.966663700992761e-05,3.20930413655601e-08,0.0,0.12928686465074551,0.025817664919267375,1.4908992607559005e-06,0.9092377277000271,0.224121506382885,0.0007061566972063656,0.3812554591578021,0.08943990397554519,8.677552538294133e-05,0.004717161868655034,0.0003352264888325349,0.0,0.0,1.1176869567800987e-06,0.0,0.0,0.046181573314058366,0.007339062862355524,5.3048828853965925e-11
0.5704672547011626,0.6378159554660294,0.4339357896454633,1.0718343372848294e-05,0.000960028800864,0.0018032786885245,0.0,2.2445041298674276e-11,0.0,6.897919920305754e-05,8.80381208717094e-08,2.6115031841947058e-06,0.0,0.0,0.0,0.0,2.5893179212777625e-12,0.0,0.0,0.013857827937078014,0.0015280504034709391,0.0,0.13699560616315912,0.027652009368543007,1.9889313324864966e-06,0.05231585836672698,0.008580371310381517,6.424882085859458e-10,0.00010109916984483785,2.513456720418427e-07,0.0,0.0,4.970847324186873e-05,3.218112579194449e-08,0.0,0.12933278395744255,0.02582855076258823,1.4935914105087752e-06,0.9096108465410189,0.22421201800526916,0.0007067351464526912,0.38142908907715084,0.08948499976090525,8.688851380155076e-05,0.004721028545364241,0.00033562971082913155,0.0,0.0,1.1043096290985316e-06,0.0,0.0,0.0460692987175009,0.007316633544710693,4.9952520227084556e-11
0.5704620397261665,0.6378204028071063,0.4337643792030152,1.0718343372848294e-05,0.000960028800864,0.0018032786885245,0.0,2.657950558975424e-11,0.0,7.003939663589214e-05,9.201698571935899e-08,2.6799494959696355e-06,0.0,0.0,0.0,0.0,2.9379563452037136e-12,0.0,0.0,0.013909507387861578,0.0015357688231942659,0.0,0.13740075262877896,0.027748788152116968,2.017741387969929e-06,0.05248978495056991,0.008615998206549676,6.784938837983968e-10,0.00010191975657312126,2.5667392231714403e-07,0.0,0.0,4.974998843649696e-05,3.226867197859737e-08,0.0,0.1293784190556367,0.025839369729960118,1.4962700709219755e-06,0.9099821997399391,0.2243020901856054,0.0007073109709815197,0.38160204934402175,0.08952992217003138,8.700114031929785e-05,0.004724884074187952,0.0003360318965064428,0.0,0.0,1.0910525795955597e-06,0.0,0.0,0.04595714735636735,0.007294239791843915,4.70054088550798e-11
0.570456888647383,0.6378248577121591,0.4335929667973632,1.0718343372848294e-05,0.000960028800864,0.0018032786885245,0.0,3.13286561983518e-11,0.0,7.111291057057316e-05,9.61435923432893e-08,2.749870036391503e-06,0.0,0.0,0.0,0.0,3.324551171688441e-12,0.0,0.0,0.013961313846631325,0.0015435144567481466,0.0,0.13780669729946654,0.027845793699251265,2.046879410304056e-06,0.05266410756732615,0.008651728969219152,7.161424954376279e-10,0.00010274544927892959,2.620930045876834e-07,0.0,0.0,4.9791180958136244e-05,3.235567332373568e-08,0.0,0.12942376925095947,0.025850121647195537,1.4989351436297534e-06,0.9103517845124997,0.22439172239197192,0.0007078841646525743,0.38177434010227645,0.0895746712323987,8.711340416367828e-05,0.0047287284707564345,0.0003364330463118175,0.0,0.0,1.0779150861924507e-06,0.0,0.0,0.04584511918772765,0.007271881589295722,4.420188369099056e-11
